Nom,Cognom,Departament,Password
Laura,Garcia,Sistemes,Laura123
Marc,Torra,Vendes,Vendes2024
Josep,Vila,RRHH,People01
Maria,Sants,Direccio,BossMaria
Pau,Ribas,Sistemes,SysAdmin99
Anna,Durany,Marketing,AdsGoogle
Joan,Casas,Vendes,VendoTodo
Elena,Puig,Comptabilitat,Euros$$
Jordi,Mas,Direccio,JefeJordi
Sara,Leon,RRHH,TalentHH
Kevin,Costner,Sistemes,Bodyguard
Pere,Pi,Vendes,PiVendes
Lluis,Roura,Marketing,LogoNew
Marta,Prat,Comptabilitat,Factura1
Carla,Simo,Sistemes,DevOps00
Pol,Valls,Vendes,PolVendes
Roger,Mola,RRHH,RogerRRHH
Julia,Ros,Marketing,Viral2026
Sergi,Bosc,Direccio,BigBoss
Nuria,Soler,Comptabilitat,Money33
